condicao,n,vp,fp,fn,vn,precisao,recall,f1,acuracia,f1_ic95_inf,f1_ic95_sup
c1,120,45,1,18,56,0.9783,0.7143,0.8257,0.8417,0.7294,0.9077
c2,120,48,4,15,53,0.9231,0.7619,0.8348,0.8417,0.7347,0.9173
c3,120,50,6,13,51,0.8929,0.7937,0.8403,0.8417,0.748,0.9185
